0,0,0,0,0.090059,0.119381
0.050042,0.004189,0,-0.004189,0.100227,0.131804
0.100083,0.008829,-1.9e-05,-0.0087,0.10584,0.139041
0.150125,0.013727,-6.2e-05,-0.013443,0.108895,0.143275
0.200167,0.01877,-0.00013,-0.018354,0.110519,0.145763
0.250209,0.023895,-0.000224,-0.023389,0.111345,0.147228
0.30025,0.029065,-0.000345,-0.028515,0.111727,0.148089
0.350292,0.034259,-0.000493,-0.03371,0.111864,0.14859
0.400334,0.039465,-0.000669,-0.038957,0.111863,0.148875
0.450375,0.044676,-0.000872,-0.044244,0.111784,0.149026
0.500417,0.049887,-0.001102,-0.049564,0.11166,0.149094
0.550459,0.055095,-0.001361,-0.054912,0.111506,0.149108
0.6005,0.0603,-0.001647,-0.060284,0.111332,0.149087
0.650542,0.065499,-0.001961,-0.065677,0.111141,0.14904
0.700584,0.070691,-0.002302,-0.071092,0.110935,0.148976
0.750626,0.075876,-0.002671,-0.076526,0.110716,0.148898
0.800667,0.081053,-0.003068,-0.081981,0.110483,0.14881
0.850709,0.086222,-0.003493,-0.087456,0.110236,0.148712
0.900751,0.091381,-0.003945,-0.092953,0.109975,0.148607
0.950792,0.09653,-0.004425,-0.098472,0.109699,0.148495
1.000834,0.101669,-0.004933,-0.104014,0.109408,0.148377
1.050876,0.106797,-0.005468,-0.109581,0.109103,0.148253
1.100917,0.111913,-0.006031,-0.115174,0.108783,0.148124
1.150959,0.117017,-0.006622,-0.120794,0.108448,0.147989
1.201001,0.122109,-0.00724,-0.126443,0.108098,0.14785
1.251043,0.127187,-0.007885,-0.132121,0.107733,0.147706
1.301084,0.132251,-0.008558,-0.137832,0.107352,0.147558
1.351126,0.137301,-0.009259,-0.143576,0.106957,0.147405
1.401168,0.142336,-0.009987,-0.149354,0.106547,0.147248
1.451209,0.147355,-0.010742,-0.155168,0.106121,0.147087
1.501251,0.152359,-0.011525,-0.161021,0.105681,0.146923
1.551293,0.157345,-0.012335,-0.166912,0.105225,0.146755
1.601334,0.162315,-0.013172,-0.172845,0.104755,0.146584
1.651376,0.167267,-0.014036,-0.178821,0.104269,0.146409
1.701418,0.1722,-0.014928,-0.184841,0.103769,0.146231
1.75146,0.177115,-0.015847,-0.190907,0.103254,0.146051
1.801501,0.182011,-0.016793,-0.197021,0.102724,0.145868
1.851543,0.186886,-0.017766,-0.203184,0.102179,0.145682
1.901585,0.191742,-0.018767,-0.209399,0.10162,0.145495
1.951626,0.196576,-0.019794,-0.215666,0.101046,0.145305
2.001668,0.201389,-0.020848,-0.221989,0.100458,0.145114
2.05171,0.20618,-0.02193,-0.228369,0.099855,0.144921
2.101751,0.210948,-0.023038,-0.234806,0.099238,0.144726
2.151793,0.215693,-0.024173,-0.241305,0.098606,0.144531
2.201835,0.220415,-0.025335,-0.247866,0.09796,0.144335
2.251877,0.225113,-0.026524,-0.254491,0.0973,0.144138
2.301918,0.229786,-0.02774,-0.261182,0.096625,0.143941
2.35196,0.234435,-0.028982,-0.267941,0.095937,0.143744
2.402002,0.239057,-0.030251,-0.274771,0.095235,0.143547
2.452043,0.243654,-0.031547,-0.281673,0.094519,0.143351
2.502085,0.248224,-0.03287,-0.288649,0.093789,0.143156
2.552127,0.252766,-0.034218,-0.295701,0.093045,0.142961
2.602168,0.257282,-0.035594,-0.302832,0.092288,0.142768
2.65221,0.261769,-0.036996,-0.310043,0.091518,0.142577
2.702252,0.266228,-0.038424,-0.317337,0.090734,0.142387
2.752294,0.270657,-0.039879,-0.324716,0.089937,0.1422
2.802335,0.275057,-0.04136,-0.332183,0.089127,0.142015
2.852377,0.279427,-0.042868,-0.339738,0.088304,0.141833
2.902419,0.283767,-0.044402,-0.347385,0.087468,0.141655
2.95246,0.288076,-0.045962,-0.355126,0.08662,0.141479
